tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0080 event=food_initialized result=class:low,position:89:77,territory:B
tick=0 subject=F0081 event=food_initialized result=class:medium,position:39:94,territory:B
tick=0 subject=F0082 event=food_initialized result=class:high,position:90:76,territory:B
tick=0 subject=F0083 event=food_initialized result=class:low,position:63:117,territory:B
tick=0 subject=F0084 event=food_initialized result=class:medium,position:97:83,territory:B
tick=0 subject=F0085 event=food_initialized result=class:high,position:41:122,territory:B
tick=0 subject=F0086 event=food_initialized result=class:low,position:124:125,territory:B
tick=0 subject=F0087 event=food_initialized result=class:medium,position:97:71,territory:B
tick=0 subject=F0088 event=food_initialized result=class:high,position:27:127,territory:B
tick=0 subject=F0089 event=food_initialized result=class:low,position:108:122,territory:B
tick=0 subject=F0090 event=food_initialized result=class:medium,position:20:83,territory:B
tick=0 subject=F0091 event=food_initialized result=class:high,position:105:75,territory:B
tick=0 subject=F0092 event=food_initialized result=class:low,position:106:78,territory:B
tick=0 subject=F0093 event=food_initialized result=class:medium,position:13:71,territory:B
tick=0 subject=F0094 event=food_initialized result=class:high,position:87:79,territory:B
tick=0 subject=F0095 event=food_initialized result=class:low,position:28:123,territory:B
tick=0 subject=F0096 event=food_initialized result=class:medium,position:107:99,territory:B
tick=0 subject=F0097 event=food_initialized result=class:high,position:121:65,territory:B
tick=0 subject=F0098 event=food_initialized result=class:low,position:20:111,territory:B
tick=0 subject=F0099 event=food_initialized result=class:medium,position:93:80,territory:B
tick=0 subject=F0100 event=food_initialized result=class:high,position:125:76,territory:B
tick=0 subject=F0101 event=food_initialized result=class:low,position:65:76,territory:B
tick=0 subject=F0102 event=food_initialized result=class:medium,position:4:72,territory:B
tick=0 subject=F0103 event=food_initialized result=class:high,position:11:70,territory:B
tick=0 subject=F0104 event=food_initialized result=class:low,position:39:102,territory:B
tick=0 subject=F0105 event=food_initialized result=class:medium,position:108:111,territory:B
tick=0 subject=F0106 event=food_initialized result=class:high,position:98:127,territory:B
tick=0 subject=F0107 event=food_initialized result=class:low,position:56:91,territory:B
tick=0 subject=F0108 event=food_initialized result=class:medium,position:46:78,territory:B
tick=0 subject=F0109 event=food_initialized result=class:high,position:89:76,territory:B
tick=0 subject=F0110 event=food_initialized result=class:low,position:41:107,territory:B
tick=0 subject=F0111 event=food_initialized result=class:medium,position:42:85,territory:B
tick=0 subject=F0112 event=food_initialized result=class:high,position:19:102,territory:B
tick=0 subject=F0113 event=food_initialized result=class:low,position:30:79,territory:B
tick=0 subject=F0114 event=food_initialized result=class:medium,position:12:126,territory:B
tick=0 subject=F0115 event=food_initialized result=class:high,position:61:98,territory:B
tick=0 subject=F0116 event=food_initialized result=class:low,position:5:91,territory:B
tick=0 subject=F0117 event=food_initialized result=class:medium,position:26:103,territory:B
tick=0 subject=F0118 event=food_initialized result=class:high,position:83:117,territory:B
tick=0 subject=F0119 event=food_initialized result=class:low,position:75:80,territory:B
tick=0 subject=F0120 event=food_initialized result=class:medium,position:12:81,territory:B
tick=0 subject=F0121 event=food_initialized result=class:high,position:7:64,territory:B
tick=0 subject=F0122 event=food_initialized result=class:low,position:117:78,territory:B
tick=0 subject=M01 event=agent_initialized result=position:63:31,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M02 event=agent_initialized result=position:61:48,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M03 event=agent_initialized result=position:24:58,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M04 event=agent_initialized result=position:16:18,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M05 event=agent_initialized result=position:98:45,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M06 event=agent_initialized result=position:24:32,territory:A,health:100,satiety:100,energy:100
tick=0 subject=M07 event=agent_initialized result=position:63:90,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M08 event=agent_initialized result=position:74:72,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M09 event=agent_initialized result=position:121:96,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M10 event=agent_initialized result=position:126:114,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M11 event=agent_initialized result=position:101:86,territory:B,health:100,satiety:100,energy:100
tick=0 subject=M12 event=agent_initialized result=position:58:82,territory:B,health:100,satiety:100,energy:100
tick=0 subject=world event=decision_source_selected result=source:reference
tick=1 subject=M01 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M02 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M03 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M04 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M05 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M06 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M07 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M08 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M09 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M10 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M11 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=1 subject=M12 event=survival_changed result=health:100->100,satiety:100->99,energy:100->99
tick=2 subject=M01 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M02 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M03 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M04 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M05 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M06 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M07 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M08 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M09 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M10 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M11 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=2 subject=M12 event=survival_changed result=health:100->100,satiety:99->98,energy:99->98
tick=3 subject=M01 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M02 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M03 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M04 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M05 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M06 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M07 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M08 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M09 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M10 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M11 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=3 subject=M12 event=survival_changed result=health:100->100,satiety:98->97,energy:98->97
tick=4 subject=M01 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M02 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M03 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M04 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M05 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M06 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M07 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M08 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M09 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M10 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M11 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=4 subject=M12 event=survival_changed result=health:100->100,satiety:97->96,energy:97->96
tick=5 subject=M01 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M02 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M03 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M04 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M05 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M06 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M07 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M08 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M09 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M10 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M11 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=5 subject=M12 event=survival_changed result=health:100->100,satiety:96->95,energy:96->95
tick=6 subject=M01 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M02 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M03 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M04 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M05 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M06 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M07 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M08 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M09 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M10 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M11 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=6 subject=M12 event=survival_changed result=health:100->100,satiety:95->94,energy:95->94
tick=7 subject=M01 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M02 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M03 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M04 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M05 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M06 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M07 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M08 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M09 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M10 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M11 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=7 subject=M12 event=survival_changed result=health:100->100,satiety:94->93,energy:94->93
tick=8 subject=M01 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M02 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M03 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M04 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M05 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M06 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M07 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M08 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M09 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M10 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M11 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=8 subject=M12 event=survival_changed result=health:100->100,satiety:93->92,energy:93->92
tick=9 subject=M01 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M02 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M03 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M04 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M05 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M06 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M07 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M08 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M09 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M10 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M11 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=9 subject=M12 event=survival_changed result=health:100->100,satiety:92->91,energy:92->91
tick=10 subject=M01 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M02 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M03 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M04 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M05 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M06 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M07 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M08 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M09 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M10 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M11 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=M12 event=survival_changed result=health:100->100,satiety:91->90,energy:91->90
tick=10 subject=A event=food_regeneration_skipped result=reason:capacity,count:61
tick=10 subject=B event=food_regeneration_skipped result=reason:capacity,count:61
tick=11 subject=M01 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M02 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M03 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M04 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M05 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M06 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M07 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M08 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M09 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M10 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M11 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=11 subject=M12 event=survival_changed result=health:100->100,satiety:90->89,energy:90->89
tick=12 subject=M01 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M02 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M03 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M04 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M05 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M06 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M07 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M08 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M09 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M10 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M11 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=12 subject=M12 event=survival_changed result=health:100->100,satiety:89->88,energy:89->88
tick=13 subject=M01 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M02 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M03 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M04 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M05 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M06 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M07 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M08 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M09 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M10 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M11 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=13 subject=M12 event=survival_changed result=health:100->100,satiety:88->87,energy:88->87
tick=14 subject=M01 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M02 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M03 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M04 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M05 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M06 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M07 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M08 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M09 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M10 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M11 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=14 subject=M12 event=survival_changed result=health:100->100,satiety:87->86,energy:87->86
tick=15 subject=M01 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M02 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M03 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M04 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M05 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M06 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M07 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M08 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M09 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M10 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M11 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=15 subject=M12 event=survival_changed result=health:100->100,satiety:86->85,energy:86->85
tick=16 subject=M01 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M02 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M03 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M04 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M05 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M06 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M07 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M08 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M09 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M10 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M11 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=16 subject=M12 event=survival_changed result=health:100->100,satiety:85->84,energy:85->84
tick=17 subject=M01 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M02 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M03 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M04 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M05 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M06 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M07 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M08 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M09 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M10 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M11 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=17 subject=M12 event=survival_changed result=health:100->100,satiety:84->83,energy:84->83
tick=18 subject=M01 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M02 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M03 event=food_consumed result=food:F0058,class:low,satiety:83->98,energy:83->88
tick=18 subject=M03 event=survival_changed result=health:100->100,satiety:98->97,energy:88->87
tick=18 subject=M04 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M05 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M06 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M07 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M08 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M09 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
tick=18 subject=M10 event=survival_changed result=health:100->100,satiety:83->82,energy:83->82
