tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0001 event=food_initialized result=class:low,position:21:3,territory:A
tick=0 subject=F0002 event=food_initialized result=class:medium,position:82:20,territory:A
tick=0 subject=F0003 event=food_initialized result=class:high,position:114:6,territory:A
tick=0 subject=F0004 event=food_initialized result=class:low,position:93:36,territory:A
tick=0 subject=F0005 event=food_initialized result=class:medium,position:85:46,territory:A
tick=0 subject=F0006 event=food_initialized result=class:high,position:63:62,territory:A
tick=0 subject=F0007 event=food_initialized result=class:low,position:102:55,territory:A
tick=0 subject=F0008 event=food_initialized result=class:medium,position:92:50,territory:A
tick=0 subject=F0009 event=food_initialized result=class:high,position:117:29,territory:A
tick=0 subject=F0010 event=food_initialized result=class:low,position:7:32,territory:A
tick=0 subject=F0011 event=food_initialized result=class:medium,position:104:25,territory:A
tick=0 subject=F0012 event=food_initialized result=class:high,position:85:17,territory:A
tick=0 subject=F0013 event=food_initialized result=class:low,position:80:17,territory:A
tick=0 subject=F0014 event=food_initialized result=class:medium,position:53:31,territory:A
tick=0 subject=F0015 event=food_initialized result=class:high,position:7:3,territory:A
tick=0 subject=F0016 event=food_initialized result=class:low,position:117:30,territory:A
tick=0 subject=F0017 event=food_initialized result=class:medium,position:29:30,territory:A
tick=0 subject=F0018 event=food_initialized result=class:high,position:85:3,territory:A
tick=0 subject=F0019 event=food_initialized result=class:low,position:17:1,territory:A
tick=0 subject=F0020 event=food_initialized result=class:medium,position:64:4,territory:A
tick=0 subject=F0021 event=food_initialized result=class:high,position:34:57,territory:A
tick=0 subject=F0022 event=food_initialized result=class:low,position:12:17,territory:A
tick=0 subject=F0023 event=food_initialized result=class:medium,position:51:10,territory:A
tick=0 subject=F0024 event=food_initialized result=class:high,position:42:23,territory:A
tick=0 subject=F0025 event=food_initialized result=class:low,position:110:47,territory:A
tick=0 subject=F0026 event=food_initialized result=class:medium,position:65:8,territory:A
tick=0 subject=F0027 event=food_initialized result=class:high,position:36:27,territory:A
tick=0 subject=F0028 event=food_initialized result=class:low,position:53:11,territory:A
tick=0 subject=F0029 event=food_initialized result=class:medium,position:1:58,territory:A
tick=0 subject=F0030 event=food_initialized result=class:high,position:48:58,territory:A
tick=0 subject=F0031 event=food_initialized result=class:low,position:22:6,territory:A
tick=0 subject=F0032 event=food_initialized result=class:medium,position:70:42,territory:A
tick=0 subject=F0033 event=food_initialized result=class:high,position:62:51,territory:A
tick=0 subject=F0034 event=food_initialized result=class:low,position:84:22,territory:A
tick=0 subject=F0035 event=food_initialized result=class:medium,position:61:38,territory:A
tick=0 subject=F0036 event=food_initialized result=class:high,position:74:27,territory:A
tick=0 subject=F0037 event=food_initialized result=class:low,position:114:44,territory:A
tick=0 subject=F0038 event=food_initialized result=class:medium,position:2:29,territory:A
tick=0 subject=F0039 event=food_initialized result=class:high,position:47:14,territory:A
tick=0 subject=F0040 event=food_initialized result=class:low,position:60:27,territory:A
tick=0 subject=F0041 event=food_initialized result=class:medium,position:125:29,territory:A
tick=0 subject=F0042 event=food_initialized result=class:high,position:4:3,territory:A
tick=0 subject=F0043 event=food_initialized result=class:low,position:83:58,territory:A
tick=0 subject=F0044 event=food_initialized result=class:medium,position:90:52,territory:A
tick=0 subject=F0045 event=food_initialized result=class:high,position:2:26,territory:A
tick=0 subject=F0046 event=food_initialized result=class:low,position:23:7,territory:A
