tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0088 event=food_initialized result=class:low,position:48:3,territory:A
tick=0 subject=F0089 event=food_initialized result=class:medium,position:25:32,territory:A
tick=0 subject=F0090 event=food_initialized result=class:high,position:120:46,territory:A
tick=0 subject=F0091 event=food_initialized result=class:low,position:58:18,territory:A
tick=0 subject=F0092 event=food_initialized result=class:medium,position:76:40,territory:A
tick=0 subject=F0093 event=food_initialized result=class:high,position:123:28,territory:A
tick=0 subject=F0094 event=food_initialized result=class:low,position:31:39,territory:A
tick=0 subject=F0095 event=food_initialized result=class:medium,position:112:1,territory:A
tick=0 subject=F0096 event=food_initialized result=class:high,position:90:20,territory:A
tick=0 subject=F0097 event=food_initialized result=class:low,position:81:14,territory:A
tick=0 subject=F0098 event=food_initialized result=class:medium,position:112:32,territory:A
tick=0 subject=F0099 event=food_initialized result=class:high,position:21:44,territory:A
tick=0 subject=F0100 event=food_initialized result=class:low,position:21:33,territory:A
tick=0 subject=F0101 event=food_initialized result=class:medium,position:46:44,territory:A
tick=0 subject=F0102 event=food_initialized result=class:high,position:61:39,territory:A
tick=0 subject=F0103 event=food_initialized result=class:low,position:41:61,territory:A
tick=0 subject=F0104 event=food_initialized result=class:medium,position:87:24,territory:A
tick=0 subject=F0105 event=food_initialized result=class:high,position:25:47,territory:A
tick=0 subject=F0106 event=food_initialized result=class:low,position:92:50,territory:A
tick=0 subject=F0107 event=food_initialized result=class:medium,position:122:57,territory:A
tick=0 subject=F0108 event=food_initialized result=class:high,position:104:45,territory:A
tick=0 subject=F0109 event=food_initialized result=class:low,position:14:46,territory:A
tick=0 subject=F0110 event=food_initialized result=class:medium,position:69:60,territory:A
tick=0 subject=F0111 event=food_initialized result=class:high,position:115:58,territory:A
tick=0 subject=F0112 event=food_initialized result=class:low,position:43:40,territory:A
tick=0 subject=F0113 event=food_initialized result=class:medium,position:84:33,territory:A
tick=0 subject=F0114 event=food_initialized result=class:high,position:73:25,territory:A
tick=0 subject=F0115 event=food_initialized result=class:low,position:50:48,territory:A
tick=0 subject=F0116 event=food_initialized result=class:medium,position:49:24,territory:A
tick=0 subject=F0117 event=food_initialized result=class:high,position:35:57,territory:A
tick=0 subject=F0118 event=food_initialized result=class:low,position:39:37,territory:A
tick=0 subject=F0119 event=food_initialized result=class:medium,position:19:27,territory:A
tick=0 subject=F0120 event=food_initialized result=class:high,position:32:59,territory:A
tick=0 subject=F0121 event=food_initialized result=class:low,position:7:52,territory:A
tick=0 subject=F0122 event=food_initialized result=class:medium,position:100:54,territory:A
tick=0 subject=F0123 event=food_initialized result=class:low,position:89:98,territory:B
tick=0 subject=F0124 event=food_initialized result=class:medium,position:68:118,territory:B
tick=0 subject=F0125 event=food_initialized result=class:high,position:43:115,territory:B
tick=0 subject=F0126 event=food_initialized result=class:low,position:76:104,territory:B
tick=0 subject=F0127 event=food_initialized result=class:medium,position:62:94,territory:B
tick=0 subject=F0128 event=food_initialized result=class:high,position:77:81,territory:B
tick=0 subject=F0129 event=food_initialized result=class:low,position:19:114,territory:B
tick=0 subject=F0130 event=food_initialized result=class:medium,position:43:125,territory:B
tick=0 subject=F0131 event=food_initialized result=class:high,position:101:122,territory:B
tick=0 subject=F0132 event=food_initialized result=class:low,position:41:68,territory:B
tick=0 subject=F0133 event=food_initialized result=class:medium,position:8:88,territory:B
tick=0 subject=F0134 event=food_initialized result=class:high,position:99:116,territory:B
tick=0 subject=F0135 event=food_initialized result=class:low,position:119:81,territory:B
tick=0 subject=F0136 event=food_initialized result=class:medium,position:123:86,territory:B
tick=0 subject=F0137 event=food_initialized result=class:high,position:109:90,territory:B
tick=0 subject=F0138 event=food_initialized result=class:low,position:19:111,territory:B
tick=0 subject=F0139 event=food_initialized result=class:medium,position:103:102,territory:B
tick=0 subject=F0140 event=food_initialized result=class:high,position:64:77,territory:B
tick=0 subject=F0141 event=food_initialized result=class:low,position:61:64,territory:B
tick=0 subject=F0142 event=food_initialized result=class:medium,position:53:94,territory:B
tick=0 subject=F0143 event=food_initialized result=class:high,position:39:103,territory:B
tick=0 subject=F0144 event=food_initialized result=class:low,position:11:105,territory:B
tick=0 subject=F0145 event=food_initialized result=class:medium,position:79:84,territory:B
tick=0 subject=F0146 event=food_initialized result=class:high,position:19:125,territory:B
tick=0 subject=F0147 event=food_initialized result=class:low,position:79:74,territory:B
tick=0 subject=F0148 event=food_initialized result=class:medium,position:116:81,territory:B
tick=0 subject=F0149 event=food_initialized result=class:high,position:5:114,territory:B
tick=0 subject=F0150 event=food_initialized result=class:low,position:13:87,territory:B
tick=0 subject=F0151 event=food_initialized result=class:medium,position:101:93,territory:B
tick=0 subject=F0152 event=food_initialized result=class:high,position:60:77,territory:B
tick=0 subject=F0153 event=food_initialized result=class:low,position:64:65,territory:B
tick=0 subject=F0154 event=food_initialized result=class:medium,position:127:91,territory:B
tick=0 subject=F0155 event=food_initialized result=class:high,position:89:94,territory:B
tick=0 subject=F0156 event=food_initialized result=class:low,position:64:75,territory:B
tick=0 subject=F0157 event=food_initialized result=class:medium,position:103:99,territory:B
tick=0 subject=F0158 event=food_initialized result=class:high,position:33:127,territory:B
tick=0 subject=F0159 event=food_initialized result=class:low,position:122:123,territory:B
tick=0 subject=F0160 event=food_initialized result=class:medium,position:21:111,territory:B
tick=0 subject=F0161 event=food_initialized result=class:high,position:113:75,territory:B
tick=0 subject=F0162 event=food_initialized result=class:low,position:21:110,territory:B
tick=0 subject=F0163 event=food_initialized result=class:medium,position:11:66,territory:B
tick=0 subject=F0164 event=food_initialized result=class:high,position:108:91,territory:B
tick=0 subject=F0165 event=food_initialized result=class:low,position:55:73,territory:B
