tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0088 event=food_initialized result=class:low,position:102:27,territory:A
tick=0 subject=F0089 event=food_initialized result=class:medium,position:91:35,territory:A
tick=0 subject=F0090 event=food_initialized result=class:high,position:90:60,territory:A
tick=0 subject=F0091 event=food_initialized result=class:low,position:91:45,territory:A
tick=0 subject=F0092 event=food_initialized result=class:medium,position:41:22,territory:A
tick=0 subject=F0093 event=food_initialized result=class:high,position:5:34,territory:A
tick=0 subject=F0094 event=food_initialized result=class:low,position:57:23,territory:A
tick=0 subject=F0095 event=food_initialized result=class:medium,position:25:0,territory:A
tick=0 subject=F0096 event=food_initialized result=class:high,position:110:48,territory:A
tick=0 subject=F0097 event=food_initialized result=class:low,position:38:2,territory:A
tick=0 subject=F0098 event=food_initialized result=class:medium,position:56:16,territory:A
tick=0 subject=F0099 event=food_initialized result=class:high,position:69:5,territory:A
tick=0 subject=F0100 event=food_initialized result=class:low,position:26:29,territory:A
tick=0 subject=F0101 event=food_initialized result=class:medium,position:46:32,territory:A
tick=0 subject=F0102 event=food_initialized result=class:high,position:103:29,territory:A
tick=0 subject=F0103 event=food_initialized result=class:low,position:115:63,territory:A
tick=0 subject=F0104 event=food_initialized result=class:medium,position:59:37,territory:A
tick=0 subject=F0105 event=food_initialized result=class:high,position:68:25,territory:A
tick=0 subject=F0106 event=food_initialized result=class:low,position:11:33,territory:A
tick=0 subject=F0107 event=food_initialized result=class:medium,position:13:24,territory:A
tick=0 subject=F0108 event=food_initialized result=class:high,position:109:36,territory:A
tick=0 subject=F0109 event=food_initialized result=class:low,position:19:13,territory:A
tick=0 subject=F0110 event=food_initialized result=class:medium,position:57:17,territory:A
tick=0 subject=F0111 event=food_initialized result=class:high,position:30:17,territory:A
tick=0 subject=F0112 event=food_initialized result=class:low,position:71:43,territory:A
tick=0 subject=F0113 event=food_initialized result=class:medium,position:107:53,territory:A
tick=0 subject=F0114 event=food_initialized result=class:high,position:97:57,territory:A
tick=0 subject=F0115 event=food_initialized result=class:low,position:111:17,territory:A
tick=0 subject=F0116 event=food_initialized result=class:medium,position:71:42,territory:A
tick=0 subject=F0117 event=food_initialized result=class:high,position:80:28,territory:A
tick=0 subject=F0118 event=food_initialized result=class:low,position:64:43,territory:A
tick=0 subject=F0119 event=food_initialized result=class:medium,position:62:24,territory:A
tick=0 subject=F0120 event=food_initialized result=class:high,position:10:30,territory:A
tick=0 subject=F0121 event=food_initialized result=class:low,position:32:4,territory:A
tick=0 subject=F0122 event=food_initialized result=class:medium,position:55:33,territory:A
tick=0 subject=F0123 event=food_initialized result=class:low,position:67:115,territory:B
tick=0 subject=F0124 event=food_initialized result=class:medium,position:84:106,territory:B
tick=0 subject=F0125 event=food_initialized result=class:high,position:30:108,territory:B
tick=0 subject=F0126 event=food_initialized result=class:low,position:27:97,territory:B
tick=0 subject=F0127 event=food_initialized result=class:medium,position:119:69,territory:B
tick=0 subject=F0128 event=food_initialized result=class:high,position:118:106,territory:B
tick=0 subject=F0129 event=food_initialized result=class:low,position:83:121,territory:B
