tick=0 subject=world event=world_initialized result=width:128,height:128,territories:2
tick=0 subject=F0088 event=food_initialized result=class:low,position:27:63,territory:A
tick=0 subject=F0089 event=food_initialized result=class:medium,position:108:58,territory:A
tick=0 subject=F0090 event=food_initialized result=class:high,position:20:19,territory:A
tick=0 subject=F0091 event=food_initialized result=class:low,position:105:11,territory:A
tick=0 subject=F0092 event=food_initialized result=class:medium,position:106:14,territory:A
tick=0 subject=F0093 event=food_initialized result=class:high,position:13:7,territory:A
tick=0 subject=F0094 event=food_initialized result=class:low,position:87:15,territory:A
tick=0 subject=F0095 event=food_initialized result=class:medium,position:28:59,territory:A
tick=0 subject=F0096 event=food_initialized result=class:high,position:107:35,territory:A
tick=0 subject=F0097 event=food_initialized result=class:low,position:121:1,territory:A
tick=0 subject=F0098 event=food_initialized result=class:medium,position:20:47,territory:A
tick=0 subject=F0099 event=food_initialized result=class:high,position:93:16,territory:A
tick=0 subject=F0100 event=food_initialized result=class:low,position:125:12,territory:A
tick=0 subject=F0101 event=food_initialized result=class:medium,position:65:12,territory:A
tick=0 subject=F0102 event=food_initialized result=class:high,position:4:8,territory:A
tick=0 subject=F0103 event=food_initialized result=class:low,position:11:6,territory:A
tick=0 subject=F0104 event=food_initialized result=class:medium,position:39:38,territory:A
tick=0 subject=F0105 event=food_initialized result=class:high,position:108:47,territory:A
tick=0 subject=F0106 event=food_initialized result=class:low,position:98:63,territory:A
tick=0 subject=F0107 event=food_initialized result=class:medium,position:56:27,territory:A
tick=0 subject=F0108 event=food_initialized result=class:high,position:46:14,territory:A
tick=0 subject=F0109 event=food_initialized result=class:low,position:89:12,territory:A
tick=0 subject=F0110 event=food_initialized result=class:medium,position:41:43,territory:A
tick=0 subject=F0111 event=food_initialized result=class:high,position:42:21,territory:A
tick=0 subject=F0112 event=food_initialized result=class:low,position:19:38,territory:A
tick=0 subject=F0113 event=food_initialized result=class:medium,position:30:15,territory:A
tick=0 subject=F0114 event=food_initialized result=class:high,position:12:62,territory:A
tick=0 subject=F0115 event=food_initialized result=class:low,position:61:34,territory:A
tick=0 subject=F0116 event=food_initialized result=class:medium,position:5:27,territory:A
tick=0 subject=F0117 event=food_initialized result=class:high,position:26:39,territory:A
tick=0 subject=F0118 event=food_initialized result=class:low,position:83:53,territory:A
tick=0 subject=F0119 event=food_initialized result=class:medium,position:75:16,territory:A
tick=0 subject=F0120 event=food_initialized result=class:high,position:12:17,territory:A
tick=0 subject=F0121 event=food_initialized result=class:low,position:7:0,territory:A
tick=0 subject=F0122 event=food_initialized result=class:medium,position:117:14,territory:A
tick=0 subject=F0123 event=food_initialized result=class:low,position:63:95,territory:B
tick=0 subject=F0124 event=food_initialized result=class:medium,position:61:112,territory:B
tick=0 subject=F0125 event=food_initialized result=class:high,position:24:122,territory:B
tick=0 subject=F0126 event=food_initialized result=class:low,position:16:82,territory:B
tick=0 subject=F0127 event=food_initialized result=class:medium,position:98:109,territory:B
tick=0 subject=F0128 event=food_initialized result=class:high,position:24:96,territory:B
tick=0 subject=F0129 event=food_initialized result=class:low,position:63:90,territory:B
tick=0 subject=F0130 event=food_initialized result=class:medium,position:74:72,territory:B
tick=0 subject=F0131 event=food_initialized result=class:high,position:121:96,territory:B
tick=0 subject=F0132 event=food_initialized result=class:low,position:126:114,territory:B
tick=0 subject=F0133 event=food_initialized result=class:medium,position:101:86,territory:B
tick=0 subject=F0134 event=food_initialized result=class:high,position:58:82,territory:B
tick=0 subject=F0135 event=food_initialized result=class:low,position:77:74,territory:B
tick=0 subject=F0136 event=food_initialized result=class:medium,position:110:72,territory:B
tick=0 subject=F0137 event=food_initialized result=class:high,position:126:96,territory:B
tick=0 subject=F0138 event=food_initialized result=class:low,position:99:122,territory:B
tick=0 subject=F0139 event=food_initialized result=class:medium,position:67:70,territory:B
tick=0 subject=F0140 event=food_initialized result=class:high,position:19:111,territory:B
tick=0 subject=F0141 event=food_initialized result=class:low,position:8:86,territory:B
tick=0 subject=F0142 event=food_initialized result=class:medium,position:76:98,territory:B
tick=0 subject=F0143 event=food_initialized result=class:high,position:74:87,territory:B
tick=0 subject=F0144 event=food_initialized result=class:low,position:95:97,territory:B
tick=0 subject=F0145 event=food_initialized result=class:medium,position:9:64,territory:B
tick=0 subject=F0146 event=food_initialized result=class:high,position:61:122,territory:B
